Energy(MeV)	LaCl\d3\n:Ce(SEB 347)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (Q489)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (Q491)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (2987)	Uncertainty
1.2400	1.6942	0.31301	0.58200	9.9813	0.98348	0.58200	9.7874	1.1378	0.58700	9.5752	1.0943
1.2600	1.6906	0.31235	0.59000	9.4072	0.92693	0.59000	9.2107	1.0708	0.59400	9.4390	1.0788
1.2790	1.6467	0.30424	0.59900	9.0373	0.89051	0.59900	8.4904	0.98708	0.60100	8.8714	1.0139
1.2990	1.6000	0.29562	0.60700	8.1612	0.80420	0.60700	7.4059	0.86100	0.60800	8.4699	0.96805
1.3190	1.5567	0.28762	0.61600	7.9330	0.78174	0.61600	7.1901	0.83594	0.61500	8.0799	0.92348
1.3390	1.5720	0.29044	0.62400	7.9080	0.77928	0.62400	7.4087	0.86136	0.62200	7.8701	0.89952
1.3590	1.3769	0.25439	0.63300	8.0845	0.79670	0.63300	7.1404	0.83019	0.62900	7.2662	0.83051
1.3800	1.4813	0.33662	0.64100	7.8690	0.77549	0.64100	6.9264	0.80533	0.63700	7.4154	0.84757
1.4000	1.3571	0.30839	0.65000	6.9045	0.68046	0.65000	6.3801	0.74183	0.64400	7.3418	0.83917
1.4210	1.3906	0.31601	0.65900	6.8083	0.67101	0.65900	6.1388	0.71378	0.65100	6.6788	0.76340
1.4420	1.3755	0.31256	0.66800	6.6691	0.65731	0.66800	6.0586	0.70448	0.65900	6.4888	0.74169
1.4630	1.2846	0.29193	0.67700	6.8905	0.67915	0.67700	6.0745	0.70634	0.66600	6.5093	0.74404
1.4840	1.2371	0.28112	0.68600	6.9778	0.68778	0.68600	6.0086	0.69870	0.67300	6.3201	0.72243
1.5060	1.2055	0.27395	0.69500	6.2443	0.61550	0.69500	6.2816	0.73046	0.68100	6.3119	0.72150
1.5270	1.1895	0.27032	0.70400	6.2204	0.61317	0.70400	6.2414	0.72581	0.68800	6.2365	0.71290
1.5490	1.1777	0.26763	0.71300	5.8318	0.57489	0.71300	5.8072	0.67534	0.69600	6.2587	0.71545
1.5700	1.1510	0.26158	0.72300	5.6269	0.55473	0.72300	5.6938	0.66217	0.70300	6.4175	0.73362
1.5920	1.1025	0.25054	0.73200	5.3371	0.52618	0.73200	5.2272	0.60793	0.71100	5.8082	0.66398
1.6140	1.0773	0.24481	0.74200	5.0667	0.49955	0.74200	4.9901	0.58039	0.71900	5.9301	0.67794
1.6370	1.0778	0.24494	0.75100	4.7147	0.46487	0.75100	4.8781	0.56738	0.72600	5.7678	0.65939
1.6590	1.0465	0.23783	0.76100	4.6819	0.46167	0.76100	4.7595	0.55361	0.73400	5.1504	0.58883
1.6820	1.0524	0.23917	0.77000	4.6075	0.45435	0.77000	4.6490	0.54078	0.74200	5.2562	0.60094
1.7040	1.0573	0.24030	0.78000	4.2883	0.42291	0.78000	4.4237	0.51459	0.74900	5.0124	0.57308
1.7270	1.0202	0.23187	0.79000	4.1146	0.40581	0.79000	4.3547	0.50659	0.75700	4.5985	0.52577
1.7500	0.98392	0.22362	0.80000	4.0747	0.40190	0.80000	4.0544	0.47169	0.76500	4.5307	0.51803
1.7730	0.97938	0.22259	0.81000	4.0594	0.40042	0.81000	3.9561	0.46028	0.77300	4.4612	0.51011
1.7960	0.95513	0.21708	0.82000	3.9605	0.39070	0.82000	3.8640	0.44959	0.78100	4.3727	0.50001
1.8200	0.85438	0.19419	0.83000	3.9635	0.39104	0.83000	3.9994	0.46537	0.78900	4.1361	0.47298
1.8430	0.91935	0.20896	0.84000	3.9243	0.38720	0.84000	3.9917	0.46451	0.79700	3.9882	0.45608
1.8670	0.87298	0.19842	0.85000	3.1770	0.31350	0.85000	3.5355	0.41146	0.80500	3.7487	0.42870
1.8910	0.84070	0.19109	0.86100	3.0842	0.30437	0.86100	3.2394	0.37702	0.81300	3.6788	0.42072
1.9150	0.84673	0.19247	0.87100	2.9445	0.29062	0.87100	2.9855	0.34749	0.82100	3.6398	0.41629
1.9390	0.82367	0.18723	0.88200	2.9730	0.29347	0.88200	3.0010	0.34933	0.82900	3.6568	0.41825
1.9640	0.81279	0.18476	0.89200	2.8816	0.28449	0.89200	2.8658	0.33363	0.83700	3.3123	0.37887
1.9880	0.74011	0.16824	0.90300	2.8255	0.27899	0.90300	2.9653	0.34525	0.84600	3.2358	0.37014
2.0130	0.73147	0.16628	0.91300	2.8105	0.27754	0.91300	2.8047	0.32658	0.85400	3.1824	0.36405
2.0380	0.75833	0.17240	0.92400	2.8493	0.28142	0.92400	2.8179	0.32816	0.86200	3.0473	0.34861
2.0880	0.74897	0.17029	0.93400	2.7380	0.27047	0.93400	2.7316	0.31814	0.87000	2.8247	0.32317
2.1390	0.69592	0.15824	0.94500	2.6998	0.26674	0.94500	2.6680	0.31078	0.87900	2.7750	0.31750
2.1900	0.65733	0.14948	0.95600	2.7487	0.27162	0.95600	2.6304	0.30643	0.88700	2.8303	0.32386
2.2420	0.60902	0.13852	0.96700	2.5928	0.25627	0.96700	2.5883	0.30158	0.89500	2.6813	0.30683
2.2950	0.56982	0.12962	0.97800	2.4334	0.24058	0.97800	2.4136	0.28126	0.90400	2.6484	0.30309
2.3480	0.53858	0.12254	0.99000	2.3850	0.23584	0.99000	2.4120	0.28112	0.91200	2.6602	0.30447
2.4020	0.49853	0.11346	1.0010	2.3271	0.30594	1.0010	2.4421	0.35465	0.92100	2.6422	0.30243
2.4560	0.46005	0.10473	1.0120	1.8711	0.24602	1.0120	2.4016	0.34880	0.92900	2.6252	0.30050
2.5110	0.42998	0.15450	1.0230	1.8463	0.24280	1.0230	2.2076	0.32068	0.93800	2.5314	0.28981
2.5670	0.40560	0.14574	1.0350	1.7775	0.23379	1.0350	2.2187	0.32233	0.94700	2.6315	0.30130
